"","app","uid","context","timestamp","Physics_EAP","ForceAndMotion_EAP","LinearMomentum_EAP","Energy_EAP","Torque_EAP","NFL_EAP","NSL_EAP","NTL_EAP","POfMom_EAP","ConOfMom_EAP","EnergyTransfer_EAP","EnergyDissipate_EAP","StaticEquilibrium_EAP","PropertiesofTorque_EAP","Physics_Margin.High","Physics_Margin.Medium","Physics_Margin.Low"
"50","linear","174c2","St. Patrick's Day",2019-05-20 13:27:12,-0.9138,-0.941,-0.9363,-0.7679,-0.9655,-0.9674,-0.9674,-0.9024,-0.9616,-0.966,0.0243,-0.7517,-0.7424,-0.8653,1e-04,0.0552,0.9447
"51","linear","176c2","Hit and Run",2019-05-20 13:24:31,-0.2318,-0.4345,0.1717,-0.0963,-0.4111,-0.9674,-0.967,-0.9674,-0.4152,0.9578,0.9674,-0.9651,-0.2583,0.6178,0.0347,0.691,0.2743
"52","linear","177c2","St. Patrick's Day",2019-05-20 13:25:03,-0.6626,-0.8263,-0.4423,-0.2947,-0.9338,-0.9674,-0.9674,-0.9596,-0.6348,-0.0715,0.9672,-0.9674,-0.7144,-0.5359,0.0019,0.3113,0.6868
"53","linear","178c2","Diving Board",2019-05-20 13:33:20,-0.2277,-0.218,0.3076,-0.0555,-0.5066,-0.9674,-0.9674,-0.3229,-6e-04,0.9127,0.954,-0.9674,-0.0864,0.0134,0.0272,0.7103,0.2626
"54","linear","181c2","Under the Candlestick",2019-05-20 13:25:36,-0.1787,-0.3714,0.0321,-0.069,-0.2479,-0.9674,-0.9674,-0.9674,-0.9674,0.8296,0.9674,-0.9667,-0.1865,0.9555,0.0231,0.7691,0.2078
"55","linear","184c2","Up in the Air",2019-05-17 13:45:57,-0.2513,-0.4518,0.2327,-0.104,-0.5007,-0.9674,-0.9674,-0.9669,-0.012,0.939,0.9674,-0.9674,-0.308,0.4695,0.0296,0.6809,0.2894
"56","linear","187c2","Roller coaster",2019-05-20 13:21:04,-0.0269,-0.1501,0.6604,0.3389,-0.5152,-0.9674,-0.9649,-0.4153,0.807,0.9665,0.9674,-0.0635,-0.3483,0.0659,0.1113,0.7496,0.1391
"57","linear","189c2","Up in the Air",2019-05-20 13:33:05,-0.3669,-0.5581,-0.1741,-0.1572,-0.5064,-0.9667,-0.9674,-0.9666,-0.9672,0.4455,0.9674,-0.9674,-0.4244,0.8135,0.0143,0.5921,0.3936
"58","linear","194c2","Seesaw",2019-05-24 10:56:06,-0.0988,-0.2838,0.105,-0.033,-0.1144,-0.9674,-0.9674,-0.9599,-0.9572,0.9651,0.9674,-0.9674,0.0135,0.9591,0.0298,0.8382,0.132
"59","linear","196c2","Basement Stairs",2019-05-24 11:01:17,-0.1032,-0.284,0.2654,-0.0187,-0.1926,-0.9674,-0.9674,-0.9674,-0.2836,0.9412,0.9674,-0.9065,0.0081,0.7744,0.0436,0.8061,0.1503
"60","linear","198c2","Sunny Day",2019-05-24 10:58:17,-0.2883,-0.3358,0.4888,-0.0785,-0.8643,-0.9674,-0.9674,-0.5297,0.7534,0.9498,0.961,-0.9469,-0.6532,-0.6832,0.0147,0.6726,0.3127
"61","linear","200c2","Tricks",2019-05-20 14:20:45,0.0752,-0.0443,0.3958,0.0288,0.2813,-0.9671,-0.9674,-0.2941,0.0117,0.7285,0.9674,-0.9673,0.9623,0.9564,0.1196,0.8386,0.0419
"62","linear","201c2","Flying Brooms",2019-05-24 10:54:40,-0.2703,-0.4698,-0.2468,-0.1127,-0.2891,-0.9674,-0.9674,-0.9674,-0.9666,-0.0191,0.9674,-0.9674,-0.1059,0.9646,0.0143,0.6921,0.2937
"63","linear","202c2","Green Apple",2019-05-20 14:23:42,-0.1867,-0.0705,0.0612,-0.0121,-0.2679,-0.9674,-0.9673,0.0612,-0.6662,0.3184,0.9674,-0.9662,0.2527,0.2043,0.0235,0.76,0.2165
"64","linear","203c2","Ed",2019-05-24 10:57:04,-0.0634,-0.233,0.3533,-0.0222,-0.1267,-0.9639,-0.9674,-0.9674,0.0069,0.925,0.9674,-0.9674,-0.0882,0.967,0.0482,0.838,0.1138
"65","linear","204c2","Roller coaster",2019-05-20 14:12:38,0.2962,-0.0226,0.7998,0.6841,0.0984,-0.9674,-0.9674,-0.3362,0.8439,0.9673,0.9674,0.4986,0.1756,0.9086,0.3278,0.6506,0.0216
"66","linear","205c2","Green Apple",2019-05-24 10:59:33,-0.5479,-0.7303,-0.3317,-0.2414,-0.777,-0.9674,-0.967,-0.9674,-0.9623,0.2688,0.9674,-0.9674,-0.595,0.3312,0.0056,0.4224,0.5719
"67","linear","207c2","Flying Brooms",2019-05-24 11:01:02,0.0691,-0.1295,0.4431,0.0175,0.2111,-0.9674,-0.9674,-0.9674,0.005,0.9659,0.9674,-0.9674,0.789,0.9674,0.1168,0.8378,0.0454
"68","linear","209c2","Cloudy Day",2019-05-20 14:24:55,-0.2467,-0.3068,0.4756,-0.0171,-0.7575,-0.9674,-0.967,-0.5119,0.7028,0.8596,0.9662,-0.7988,-0.5594,-0.3328,0.0286,0.6878,0.2836
