"","app","uid","context","timestamp","Physics_EAP","ForceAndMotion_EAP","LinearMomentum_EAP","Energy_EAP","Torque_EAP","NFL_EAP","NSL_EAP","NTL_EAP","POfMom_EAP","ConOfMom_EAP","EnergyTransfer_EAP","EnergyDissipate_EAP","StaticEquilibrium_EAP","PropertiesofTorque_EAP","Physics_Margin.High","Physics_Margin.Medium","Physics_Margin.Low"
"38","userControl","268c3","Freefall",2019-05-20 11:57:33,-0.1103,-0.3031,0.0254,-0.0341,-0.081,-0.9674,-0.9674,-0.9674,-0.7624,0.4646,0.9666,-0.9433,0.5172,0.6222,0.0351,0.8158,0.1491
"39","userControl","269c3","Green Apple",2019-05-23 10:53:19,-0.3896,-0.5889,-0.0671,-0.1977,-0.6007,-0.9674,-0.9674,-0.9674,-0.9554,0.7897,0.8991,-0.9674,0.0758,0.1321,0.012,0.5732,0.4148
"40","userControl","270c3","Leprechaun",2019-05-23 10:53:27,-0.1287,-0.2155,0.5848,0.1263,-0.5929,-0.9674,-0.9672,-0.4557,0.7688,0.9305,0.9674,-0.5187,-0.4157,0.007,0.0659,0.7353,0.1989
"41","userControl","271c3","Windy Day",2019-05-17 12:31:28,0.0617,-0.1381,0.3376,0.0165,0.2506,-0.9674,-0.9674,-0.954,-0.232,0.8201,0.9674,-0.9674,0.9645,0.9499,0.109,0.8457,0.0453
"42","userControl","273c3","Diving Board",2019-05-23 10:55:14,-0.5119,-0.689,-0.3489,-0.2259,-0.691,-0.9674,-0.9674,-0.9619,-0.958,0.1451,0.9654,-0.9674,-0.0115,0.0596,0.0073,0.4563,0.5364
"43","userControl","276c3","Green Apple",2019-05-20 13:28:27,-0.6206,-0.7856,-0.4748,-0.277,-0.8262,-0.9674,-0.9674,-0.9673,-0.9631,-0.0249,0.9673,-0.9674,-0.2096,-0.0907,0.0035,0.3515,0.645
"44","userControl","278c3","Green Apple",2019-05-20 13:58:28,0.2125,-0.0811,0.5113,0.4243,0.2528,-0.967,-0.9674,-0.9674,-0.005,0.9655,0.9674,-0.0155,0.6882,0.9674,0.2473,0.7251,0.0276
"45","userControl","282c3","Basement Stairs",2019-05-17 13:45:53,0.1619,-0.0606,0.7589,0.0383,0.3124,-0.9673,-0.9674,-0.9674,0.833,0.9667,0.9672,-0.9671,0.9516,0.9638,0.1878,0.7918,0.0204
"46","userControl","283c3","Windy Day",2019-05-20 13:35:28,-0.7807,-0.8823,-0.7347,-0.5108,-0.8927,-0.9674,-0.9674,-0.9674,-0.699,-0.7108,0.3853,-0.6904,0.1638,-0.2145,0.0019,0.1893,0.8089
"47","userControl","285c3","Seesaw",2019-05-20 13:36:58,-0.5633,-0.6222,-0.6481,0.0477,-0.7336,-0.9673,-0.9673,-0.6847,-0.7154,-0.8139,0.9332,-0.1445,0.2672,-0.2821,0.0124,0.3929,0.5947
"48","userControl","286c3","Freefall",2019-05-17 13:55:15,-0.743,-0.856,-0.6395,-0.3288,-0.9545,-0.9097,-0.9641,-0.9671,-0.79,-0.4461,0.9674,-0.9674,-0.7326,-0.781,8e-04,0.2304,0.7688
"49","userControl","287c3","Freefall",2019-05-17 13:21:28,-0.5946,-0.485,-0.2876,-0.1801,-0.935,-0.9674,-0.9672,-0.4181,-0.9535,0.1409,0.9674,-0.9671,-0.7154,-0.8469,0.0016,0.3821,0.6162
"50","userControl","288c3","St. Patrick's Day",2019-05-20 13:24:08,-0.5713,-0.7457,-0.2873,-0.2388,-0.8646,-0.9674,-0.9674,-0.9306,-0.9183,0.3971,0.9674,-0.9392,-0.6536,-0.0144,0.0043,0.4009,0.5948
"51","userControl","289c3","St. Patrick's Day",2019-05-20 13:24:17,-0.2799,-0.4703,0.2004,-0.1146,-0.542,-0.9674,-0.9674,-0.9079,-0.0964,0.9221,0.9674,-0.9674,-0.3724,0.3808,0.0303,0.6501,0.3196
"52","userControl","290c3","Ed",2019-05-20 13:37:15,-0.2026,-0.4053,-0.1778,-0.0812,-0.1898,-0.9672,-0.9674,-0.9674,-0.9396,0.0428,0.9674,-0.9674,0.0465,0.967,0.0181,0.7544,0.2275
"53","userControl","292c3","Broken Guitar",2019-05-20 13:31:11,-0.2658,-0.4648,0.0096,-0.1115,-0.3939,-0.9674,-0.9666,-0.9673,-0.8593,0.8006,0.9674,-0.9674,-0.2431,0.7258,0.0258,0.6737,0.3005
"54","userControl","294c3","Kind Cloud",2019-05-20 13:34:08,-0.2294,-0.4463,-0.264,-0.212,-0.0921,-0.9674,-0.9674,-0.9674,-0.0354,-0.754,0.0062,-0.2929,0.5141,0.9361,0.0238,0.7152,0.261
"55","userControl","295c3","Frog",2019-05-20 13:27:46,-0.2208,-0.3836,0.4955,-0.084,-0.6256,-0.9674,-0.9648,-0.8775,0.7637,0.9664,0.9674,-0.9674,-0.4445,0.1332,0.0354,0.7009,0.2637
"56","userControl","296c3","Freefall",2019-05-17 13:48:17,-0.9355,-0.9608,-0.9209,-0.9068,-0.9663,-0.9654,-0.9674,-0.9671,-0.9045,-0.9298,-0.0267,-0.9674,-0.743,-0.8292,0,0.033,0.967
"57","userControl","300c3","Magic Bean",2019-05-24 10:53:34,-0.1715,-0.3638,-0.0177,-0.0305,-0.2208,-0.9674,-0.9674,-0.9674,-0.9552,0.6199,0.9674,-0.8515,-0.0495,0.8839,0.0266,0.7695,0.2039
"58","userControl","301c3","Mr Green",2019-05-20 14:21:21,-0.8627,-0.9342,-0.3706,-0.8982,-0.9631,-0.9674,-0.9674,-0.9667,0.0051,-0.1019,-0.3483,-0.967,-0.7402,-0.7883,2e-04,0.1079,0.8919
"59","userControl","302c3","Frog",2019-05-20 14:18:50,-0.2795,-0.4595,0.4408,-0.1086,-0.7548,-0.9674,-0.9669,-0.9321,0.749,0.9657,0.9673,-0.9674,-0.5569,-0.1138,0.022,0.6671,0.3109
"60","userControl","305c3","Pizza Hill",2019-05-24 10:59:03,-0.1223,-0.3089,0.0646,-0.0775,-0.1085,-0.9656,-0.9566,-0.9668,-0.0051,0.1402,0.8811,-0.9674,0.1374,0.9312,0.0311,0.8114,0.1575
"61","userControl","306c3","Seesaw",2019-05-24 10:56:53,-0.4617,-0.6531,-0.146,-0.2001,-0.7202,-0.9674,-0.9674,-0.9648,-0.5783,0.4579,0.9674,-0.9674,-0.928,0.9575,0.0103,0.5021,0.4876
"62","userControl","308c3","Freefall",2019-05-24 10:41:11,-0.7579,-0.8888,-0.6814,-0.3441,-0.9516,-0.9674,-0.9674,-0.9661,-0.9662,-0.3849,0.9659,-0.9674,-0.7301,-0.6616,7e-04,0.2152,0.7841
"63","userControl","309c3","Up in the Air",2019-05-17 14:50:50,-0.2999,-0.5013,0.2097,-0.1231,-0.6066,-0.967,-0.9533,-0.9614,-0.0062,0.9574,0.9674,-0.9674,-0.5023,0.4159,0.0227,0.6445,0.3327
"64","userControl","311c3","Green Apple",2019-05-20 14:24:19,-0.1728,-0.357,0.3436,-0.068,-0.3777,-0.9674,-0.9658,-0.9671,0.1544,0.9674,0.9674,-0.9619,0.3693,0.0255,0.0392,0.7431,0.2178
"65","userControl","312c3","St. Patrick's Day",2019-05-24 10:51:46,-0.5696,-0.7642,-0.2398,-0.2496,-0.8894,-0.9674,-0.9674,-0.966,-0.755,0.4623,0.9674,-0.9674,-0.6754,-0.2338,0.004,0.4032,0.5928
"66","userControl","314c3","Broken Guitar",2019-05-24 10:57:15,-0.4324,-0.6583,0.1139,-0.1745,-0.8711,-0.9674,-0.9648,-0.967,-0.0199,0.9316,0.9674,-0.9437,-0.6592,-0.3869,0.0081,0.5369,0.455
"67","userControl","317c3","Roller coaster",2019-05-20 14:16:33,-0.0496,-0.1635,0.6423,0.1661,-0.4123,-0.9674,-0.9622,-0.4235,0.7955,0.9532,0.9674,-0.4919,-0.2599,0.2969,0.0997,0.7494,0.151
