"","app","uid","context","timestamp","Physics_EAP","ForceAndMotion_EAP","LinearMomentum_EAP","Energy_EAP","Torque_EAP","NFL_EAP","NSL_EAP","NTL_EAP","POfMom_EAP","ConOfMom_EAP","EnergyTransfer_EAP","EnergyDissipate_EAP","StaticEquilibrium_EAP","PropertiesofTorque_EAP","Physics_Margin.High","Physics_Margin.Medium","Physics_Margin.Low"
"53","userControl","292c3","Spring",2019-05-20 13:27:31,-0.8726,-0.9185,-0.746,-0.8318,-0.9204,-0.9674,-0.9215,-0.9674,-0.8656,-0.5112,0.0721,-0.9674,-0.942,0.9662,6e-04,0.0969,0.9026
"54","userControl","294c3","The Museum",2019-05-20 13:36:07,-0.7666,-0.8708,-0.2325,-0.8061,-0.8783,-0.9674,-0.9674,-0.9674,0.0293,0.1103,0.0119,-0.9672,-0.9168,0.9406,0.0022,0.2032,0.7946
"55","userControl","295c3","Whale",2019-05-20 13:25:09,-0.8577,-0.904,-0.7891,-0.7784,-0.9094,-0.9674,-0.9162,-0.9673,-0.657,-0.8129,0.1689,-0.9674,-0.9396,0.9665,0.0016,0.1102,0.8882
"56","userControl","296c3","Tetherball",2019-05-17 13:53:48,-0.8652,-0.924,-0.6236,-0.8668,-0.9272,-0.9674,-0.9559,-0.9672,-0.9674,-0.0019,1e-04,-0.9674,-0.9645,0.9558,5e-04,0.1046,0.8949
"57","userControl","300c3","Cookie Monster",2019-05-24 10:55:49,-0.6983,-0.8227,0.0314,-0.7678,-0.8487,-0.9674,-0.9674,-0.9674,-0.0533,0.9648,8.8204e-07,-0.9674,-0.9519,0.959,0.0045,0.2691,0.7263
"58","userControl","301c3","Tetherball",2019-05-20 14:19:46,-0.8363,-0.9206,-0.6047,-0.7149,-0.9635,-0.9674,-0.9672,-0.9674,-0.9574,-0.0035,0.0154,-0.695,-0.9656,-0.4879,3e-04,0.1348,0.8649
"59","userControl","302c3","Shelves",2019-05-20 14:24:50,-0.7231,-0.8224,-0.7377,-0.3223,-0.8455,-0.9674,-0.8868,-0.9674,-0.6429,-0.8361,0.967,-0.9673,-0.9258,0.967,0.0029,0.2468,0.7503
"60","userControl","305c3","Spiral",2019-05-24 11:00:38,-0.8453,-0.922,-0.1106,-0.9354,-0.9614,-0.9674,-0.9439,-0.9673,-0.0038,0.6639,-0.7545,-0.9674,-0.9638,-0.0895,2e-04,0.1259,0.8739
"61","userControl","306c3","Spiral",2019-05-24 11:00:41,-0.7744,-0.8681,-0.8416,-0.3489,-0.8791,-0.9674,-0.9033,-0.9674,-0.9669,-0.8334,0.9655,-0.9674,-0.933,0.9614,0.0012,0.1971,0.8017
"62","userControl","308c3","Tetherball",2019-05-24 10:41:46,-0.4606,-0.6305,-0.1676,-0.1926,-0.7158,-0.9674,-0.8816,-0.9674,-0.123,-0.0148,0.9655,-0.9674,-0.941,0.9674,0.0072,0.5094,0.4834
"63","userControl","309c3","Not too Far",2019-05-17 14:52:42,-0.4658,-0.6545,-0.1588,-0.1973,-0.7341,-0.9674,-0.9248,-0.9673,-0.0752,-0.0063,0.9674,-0.9673,-0.9587,0.9674,0.0069,0.5047,0.4884
"64","userControl","311c3","Cosmic Cave",2019-05-20 14:22:55,-0.4758,-0.6594,-0.1787,-0.2025,-0.7374,-0.9674,-0.9253,-0.9671,-0.2273,0.0732,0.9674,-0.967,-0.9588,0.9674,0.0073,0.4935,0.4991
"65","userControl","312c3","Breakfast time",2019-05-24 10:55:32,-0.8137,-0.9115,-0.8748,-0.4044,-0.9137,-0.9674,-0.9544,-0.9674,-0.8713,-0.9157,0.9001,-0.9674,-0.9641,0.9652,7e-04,0.1575,0.8418
"66","userControl","314c3","Spring",2019-05-24 10:56:06,-0.7891,-0.8797,-0.8651,-0.3645,-0.8881,-0.9674,-0.9075,-0.9673,-0.9139,-0.9083,0.9489,-0.9674,-0.935,0.9511,0.0011,0.1822,0.8167
"67","userControl","317c3","Wavy",2019-05-17 14:34:46,-0.6084,-0.7485,-0.5808,-0.0706,-0.8207,-0.9674,-0.9356,-0.9674,-0.4835,-0.6537,0.8488,-0.2371,-0.9613,0.7161,0.0185,0.334,0.6474
"68","userControl","904c3","Down Hill",2020-02-04 22:31:09,-0.9004,-0.8399,-0.7719,-0.9157,-0.9401,-0.9044,-0.6993,-0.84,-0.6426,-0.8011,-0.9103,-0.8553,-0.72,-0.4662,8e-04,0.0676,0.9315
