"","X","app","uid","context","timestamp","Physics_EAP","ForceAndMotion_EAP","LinearMomentum_EAP","Energy_EAP","Torque_EAP","NFL_EAP","NSL_EAP","NTL_EAP","POfMom_EAP","ConOfMom_EAP","EnergyTransfer_EAP","EnergyDissipate_EAP","StaticEquilibrium_EAP","PropertiesofTorque_EAP","Physics_Margin.High","Physics_Margin.Medium","Physics_Margin.Low","Physics_Mode","StartDate","Duration_sec","c1","c2","c3","gender","gender_other","ethnicity","ethnicity_other","grade","pre_ECT1","pre_ECT2","pre_POT1","pre_POT2","pre_N1L1","pre_N1L2","pre_N2L1","pre_N2L2","pre_N3L1","pre_N3L2","pre_POM1","pre_POM2","pre_ECD1","pre_ECD2","pre_Eqil1","pre_Eqil2","pre_COM1","pre_COM2","Post_StartDate","Post_Duration..in.seconds","post_ECT1","post_ECT2","post_POT1","post_POT2","post_N1L1","post_N1L2","post_N2L1","post_N2L2","post_N3L1","post_N3L2","post_POM1","post_POM2","post_ECD1","post_ECD2","post_Eqil1","post_Eqil2","post_COM1","post_COM2","preScore","postScore","Cond","filter_.","Gain","gender_bg","WE_watched","Game_Q1","R_Game_Q2","R_Game_Q3","Game_Q4","Game_Q5","Game_Q6","Game_Q7","Game_Q8","Game_Q9","Game_Q10","LS_Q1","LS_Q2","R_LS_Q3","LS_Q4","R_LS_Q5","R_LS_Q6","Game_Satis_Score","LS_Satis_Score","Game_Q2","Game_Q3","LS_Q3","LS_Q5","LS_Q6","LS_Satis_S","Game_Satis_S","pre_NFM","pre_Energy","pre_Moemntum","pre_Torque","post_NFM","post_Energy","post_Momentum","post_Torque","log_phys_anim_freq","ALL_LSs","physicLSduration","perceived_competency","Game_enjoyment","solutionLSduration","score","AllLSduration","PropToolLS","PropPhysLS","PropSoluLS","LScond","NumberAttempts_sum","NumberAttempts_mean","condition","physAnimFreq","physAnimDuration","weFreq","weDuration","hintFreq","hintDuration","toolsFreq","toolsDuration","glossaryFreq","glossaryDuration","defFreq","defDuration","formFreq","formDuration","hvFreq","hvDuration","levelVisited","levelCompleted","silver","gold","avgAttempts","avgDuration","PhysVideosUse","PhysVideosUse3Levels","enjoy_playagain","ethWBH","NFLprepost","NSLprepost","NTLprepost","ECTprepost","POTprepost","POMprepost","Eqilprepost","ECDprepost","COMprepost","prepostNFM","prepostEnergy","prepostMomentum","prepostTorque"
"S035c1",22,"adaptive","035c1","Tricks","2019-05-23 08:57:49",-0.6937,-0.819,0.0401,-0.7597,-0.8493,-0.9674,-0.9674,-0.9674,-0.0176,0.9674,0.0126,-0.9674,-0.0294,0.0283,0.0047,0.2735,0.7217,"L","5/10/19 11:06",682,1,0,0,"Girl",0,"White",0,"10th",0,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,1,"5/23/19 9:06 ",710,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,11,16,"Adaptive","Selected",5,"Girl","No WE",5,3,4,5,4,4,4,4,4,4,5,3,2,4,3,4,41,21,3,2,4,3,2,3.5,4.1,4,2,3,2,4,4,4,4,NA,14,0,9,20,18057,470,167989,0.892510819160778,0,0.107489180839222,"ToolLs preference",412,5.80281690140845,"Adaptive",2,0,0,0,3,12.905999660492,6,129.888999938965,0,0,0,0,0,0,0,0,25,25,20,7,6.88571428571429,220.726911759412,1,1,4.5,"White",3,4,1,3,4,3,2,3,4,8,6,7,6
"S038c1",23,"adaptive","038c1","Skate Park","2019-05-23 09:06:02",-0.7878,-0.8969,-0.0378,-0.8307,-0.9606,-0.9674,-0.9674,-0.9674,-0.1185,0.9077,2.3805e-06,-0.9674,1e-04,-0.9641,7e-04,0.1843,0.815,"L","5/10/19 11:06",487,1,0,0,"Girl",0,"White",0,"9th",0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,"5/23/19 9:06 ",390,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1,12,13,"Adaptive","Selected",1,"Girl","WE",2,3,4,3,3,5,3,1,3,3,4,3,3,3,3,3,30,19,3,2,3,3,3,3.16666666666667,3,5,2,3,2,4,4,4,1,0,14,260,6,15,62311,640,62571,0,0.00415527960237171,0.995844720397628,"3",364,4,"Adaptive",3,0,1,26.9939999580383,6,16.0560004711151,0,0,0,0,1,1.67400002479553,0,0,0,0,30,29,21,11,4.32558139534884,156.305809534762,1,1,2.5,"White",2,4,3,3,3,3,0,3,4,9,6,7,3
"S040c1",24,"adaptive","040c1","Freefall","2019-05-16 11:46:20",-0.9388,-0.9619,-0.9249,-0.9254,-0.9655,-0.9674,-0.9674,-0.9674,-0.8682,-0.9566,-0.3303,-0.9668,-0.7423,-0.6711,0,0.0295,0.9705,"L","5/10/19 12:17",158,1,0,0,"Girl",0,"Black or African American",0,"9th",0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,"5/20/19 12:06",752,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,3,6,"Adaptive","Selected",3,"Girl","WE",5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,48,30,1,1,1,1,1,5,4.8,1,1,0,1,2,0,2,2,0,4,0,8,25,23867,230,29335,0.186398500085222,0,0.813601499914778,"3",94,3.13333333333333,"Adaptive",0,0,0,0,2,7.55099987983704,1,5.46799993515015,0,0,0,0,0,0,0,0,20,20,17,3,3.13333333333333,155.355566668333,0,0,5,"Black",0,3,0,0,1,1,2,1,1,3,1,2,3
"S042c1",25,"adaptive","042c1","The Museum","2019-05-20 12:00:39",-0.3214,-0.5147,-0.2608,-0.1362,-0.3788,-0.9674,-0.9674,-0.9674,-0.9504,0.0061,0.9674,-0.9674,-0.2731,0.9674,0.0124,0.6429,0.3447,"M","5/10/19 12:14",347,1,0,0,"Girl",0,"PNS",0,"9th",0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,"5/20/19 12:03",883,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,15,14,"Adaptive","Selected",-1,"Girl","WE",5,5,5,5,4,5,1,5,5,5,5,5,5,5,5,5,45,30,1,1,1,1,1,5,4.5,5,3,3,4,4,3,3,4,0.301029995663981,11,91141,9,25,99594,860,193508,0.0143301568927383,0.470993447299336,0.514676395807925,"3",334,4.33766233766234,"Adaptive",9,93.9140000324249,4,71.7569997482299,7,34.5049998760224,1,2.77300000190735,0,0,0,0,0,0,0,0,54,49,16,34,4.33766233766234,140.843815800789,1,2,5,NA,1,4,4,2,4,3,4,4,3,9,6,6,8
"S043c1",26,"adaptive","043c1","Mobile","2019-05-23 10:55:58",-0.303,-0.5113,0.0468,-0.1252,-0.5219,-0.9674,-0.9674,-0.9674,-0.8689,0.9674,0.9674,-0.9674,-0.6706,0.9674,0.0166,0.6537,0.3297,"M","5/10/19 11:57",610,1,0,0,"Girl",0,"White",0,"10th",1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,0,0,1,"5/23/19 10:56",438,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,11,15,"Adaptive","Selected",4,"Girl","WE",2,2,5,3,2,5,2,5,4,3,4,1,3,3,3,2,33,16,4,1,3,3,4,2.66666666666667,3.3,3,3,3,2,5,4,4,2,0,4,0,5,16,23893,1360,23893,0,0,1,"3",549,2.98369565217391,"Adaptive",8,0,2,21.0880000362396,3,4.33100008964538,0,0,0,0,0,0,0,0,0,0,88,81,50,36,3.41666666666667,64.6289384601538,1,2,3,"White",3,2,3,3,3,4,1,4,3,8,7,7,4
"S044c1",27,"adaptive","044c1","Socks","2019-05-23 10:55:28",-0.6629,-0.8142,-0.5601,-0.3105,-0.8445,-0.9674,-0.9674,-0.9674,-0.967,-0.1983,0.9416,-0.9674,-0.965,0.9641,0.0027,0.3094,0.6879,"L","5/10/19 11:57",508,1,0,0,"Girl",0,"Black or African American",0,"10th",1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,"5/23/19 10:56",422,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,6,4,"Adaptive","Selected",-2,"Girl","No WE",4,2,2,2,2,4,4,1,2,1,5,4,1,5,5,5,24,25,4,4,5,1,1,4.16666666666667,2.4,1,2,2,1,2,0,2,0,NA,6,0,4,11,3232,520,98512,0.967191814195225,0,0.0328081858047751,"ToolLs preference",453,2.66470588235294,"Adaptive",0,0,1,1.734,2,3.23199987411499,1,8.03399991989136,0,0,0,0,0,0,0,0,51,33,22,11,2.90579710144928,60.3382296276296,0,0,3,"Black",1,1,1,1,1,2,0,1,2,3,2,4,1
"S045c1",28,"adaptive","045c1","Freefall","2019-05-23 10:53:05",-0.1839,-0.3588,0.4911,-0.0732,-0.5034,-0.9674,-0.9674,-0.9674,0.6627,0.9674,0.9674,-0.9672,-0.9009,0.9674,0.0389,0.7321,0.229,"M","5/10/19 11:57",602,1,0,0,"Boy",0,"White",0,"10th",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,"5/23/19 10:56",317,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,12,9,"Adaptive","Selected",-3,"Boy","No WE",5,4,4,4,2,2,5,3,3,3,4,4,3,5,5,5,35,26,2,2,3,1,1,4.33333333333333,3.5,6,2,2,2,3,2,2,2,NA,0,0,6,19,0,820,0,NA,NA,NA,NA,352,2.18633540372671,"Adaptive",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,37,14,24,3.47222222222222,30.6229142828571,1,1,4,"White",3,3,3,4,4,1,0,0,3,9,4,4,4
"S046c1",29,"adaptive","046c1","Work It Up","2019-05-23 10:56:05",-0.393,-0.6099,0.0029,-0.1658,-0.6904,-0.9674,-0.9674,-0.9674,-0.8621,0.9437,0.9674,-0.9674,-0.938,0.9663,0.0106,0.5725,0.4169,"M","5/10/19 11:57",804,1,0,0,"Girl",0,"White",0,"10th",1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,0,1,1,"5/23/19 10:57",447,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,13,16,"Adaptive","Selected",3,"Girl","No WE",4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,40,22,2,2,3,2,3,3.66666666666667,4,4,4,3,2,5,3,4,4,NA,0,0,8,20,0,810,0,NA,NA,NA,NA,429,2.86,"Adaptive",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,50,29,24,3.34426229508197,65.4050983630328,1,1,4,"White",2,4,3,4,4,3,2,3,4,9,7,7,6
"S047c1",30,"adaptive","047c1","Seesaw","2019-05-20 11:51:41",-0.3163,-0.5246,0.1982,-0.1308,-0.6409,-0.9674,-0.9673,-0.9674,-0.0137,0.9642,0.9674,-0.9674,-0.9661,0.9667,0.0193,0.6345,0.3462,"M","5/10/19 11:56",1379,1,0,0,"Boy",0,"Asian",0,"9th",1,0,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,"5/20/19 12:04",771,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,14,15,"Adaptive","Selected",1,"Boy","No WE",5,5,2,5,5,5,4,5,5,1,5,5,5,5,4,2,42,26,1,4,1,2,4,4.33333333333333,4.2,5,2,3,4,4,4,4,3,NA,1,0,10,18,1749,580,1749,0,0,1,"3",187,3.28070175438596,"Adaptive",0,0,0,0,1,1.74899983406067,0,0,0,0,0,0,0,0,0,0,42,42,28,15,3.28070175438596,108.401578951228,0,0,5,NA,3,3,3,3,3,3,4,3,4,9,6,7,7
"S049c1",31,"adaptive","049c1","Tetherball","2019-05-20 11:55:05",-0.4747,-0.6754,-0.1594,-0.2056,-0.7469,-0.9674,-0.9674,-0.9674,-0.2446,0.1628,0.9671,-0.9674,-0.9664,0.9638,0.0077,0.4939,0.4984,"L","5/10/19 11:39",2448,1,0,0,"Boy",0,"White",0,"11th",1,0,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,0,"5/20/19 12:01",575,1,1,0,0,1,0,1,1,0,1,1,1,0,1,1,0,1,1,11,12,"Adaptive","Selected",1,"Boy","WE",5,5,5,4,3,4,5,5,4,4,2,4,5,4,5,5,44,25,1,1,1,1,1,4.16666666666667,4.4,4,3,2,2,4,3,4,1,0,12,42364,7,23,68667,850,111031,0,0.381551098341905,0.618448901658096,"3",252,3.40540540540541,"Adaptive",10,27.8500001907349,1,49.0550000667572,5,17.510999917984,0,0,0,0,0,0,0,0,0,0,62,58,42,19,3.60810810810811,119.451027021486,1,2,4.5,"White",1,4,3,3,2,3,1,3,3,8,6,6,3
