"","X","app","uid","context","timestamp","Physics_EAP","ForceAndMotion_EAP","LinearMomentum_EAP","Energy_EAP","Torque_EAP","NFL_EAP","NSL_EAP","NTL_EAP","POfMom_EAP","ConOfMom_EAP","EnergyTransfer_EAP","EnergyDissipate_EAP","StaticEquilibrium_EAP","PropertiesofTorque_EAP","Physics_Margin.High","Physics_Margin.Medium","Physics_Margin.Low","Physics_Mode","StartDate","Duration_sec","c1","c2","c3","gender","gender_other","ethnicity","ethnicity_other","grade","pre_ECT1","pre_ECT2","pre_POT1","pre_POT2","pre_N1L1","pre_N1L2","pre_N2L1","pre_N2L2","pre_N3L1","pre_N3L2","pre_POM1","pre_POM2","pre_ECD1","pre_ECD2","pre_Eqil1","pre_Eqil2","pre_COM1","pre_COM2","Post_StartDate","Post_Duration..in.seconds","post_ECT1","post_ECT2","post_POT1","post_POT2","post_N1L1","post_N1L2","post_N2L1","post_N2L2","post_N3L1","post_N3L2","post_POM1","post_POM2","post_ECD1","post_ECD2","post_Eqil1","post_Eqil2","post_COM1","post_COM2","preScore","postScore","Cond","filter_.","Gain","gender_bg","WE_watched","Game_Q1","R_Game_Q2","R_Game_Q3","Game_Q4","Game_Q5","Game_Q6","Game_Q7","Game_Q8","Game_Q9","Game_Q10","LS_Q1","LS_Q2","R_LS_Q3","LS_Q4","R_LS_Q5","R_LS_Q6","Game_Satis_Score","LS_Satis_Score","Game_Q2","Game_Q3","LS_Q3","LS_Q5","LS_Q6","LS_Satis_S","Game_Satis_S","pre_NFM","pre_Energy","pre_Moemntum","pre_Torque","post_NFM","post_Energy","post_Momentum","post_Torque","log_phys_anim_freq","ALL_LSs","physicLSduration","perceived_competency","Game_enjoyment","solutionLSduration","score","AllLSduration","PropToolLS","PropPhysLS","PropSoluLS","LScond","NumberAttempts_sum","NumberAttempts_mean","condition","physAnimFreq","physAnimDuration","weFreq","weDuration","hintFreq","hintDuration","toolsFreq","toolsDuration","glossaryFreq","glossaryDuration","defFreq","defDuration","formFreq","formDuration","hvFreq","hvDuration","levelVisited","levelCompleted","silver","gold","avgAttempts","avgDuration","PhysVideosUse","PhysVideosUse3Levels","enjoy_playagain","ethWBH","NFLprepost","NSLprepost","NTLprepost","ECTprepost","POTprepost","POMprepost","Eqilprepost","ECDprepost","COMprepost","prepostNFM","prepostEnergy","prepostMomentum","prepostTorque"
"S052c1",32,"adaptive","052c1","Collision","2019-05-20 11:55:25",-0.2558,-0.4483,0.3373,-0.1043,-0.5833,-0.9674,-0.9673,-0.9674,0.3198,0.9624,0.9674,-0.9673,-0.9539,0.9674,0.028,0.6796,0.2924,"M","5/10/19 11:45",1475,1,0,0,"Girl",0,"Asian",0,"9th",1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,"5/20/19 12:03",481,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,14,15,"Adaptive","Selected",1,"Girl","WE",4,3,4,4,4,4,4,3,4,3,5,3,4,4,5,2,37,23,3,2,2,1,4,3.83333333333333,3.7,5,4,4,1,5,4,4,2,0.301029995663981,20,5539,8,18,54207,510,63387,0.0574408001640715,0.0873838484231783,0.85517535141275,"3",118,1.90322580645161,"Adaptive",3,2.545,3,101.424999952316,3,7.37000036239624,2,3.64100003242493,4,9.20500040054322,4,25.8329999446869,4,11.9700000286102,2,2.105,38,37,29,9,1.96774193548387,105.803278681639,1,1,4,NA,3,4,3,4,3,4,0,4,4,10,8,8,3
"S053c1",33,"adaptive","053c1","Collision","2019-05-20 11:44:27",-0.2767,-0.4758,0.2754,-0.1136,-0.5939,-0.9674,-0.9672,-0.9674,0.1535,0.9674,0.9674,-0.9674,-0.9291,0.9674,0.0248,0.6643,0.3109,"M","5/10/19 12:13",395,1,0,0,"Girl",0,"23",0,"9th",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,"5/20/19 12:05",961,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,16,17,"Adaptive","Selected",1,"Girl","WE",4,5,4,3,2,5,4,5,5,4,5,4,3,4,4,4,41,24,1,2,3,2,2,4,4.1,6,4,3,3,5,4,4,4,0.602059991327962,11,12,5,22,91453,560,95684,0.0440930563103549,0.000125412817189917,0.955781530872455,"3",92,1.6140350877193,"Adaptive",8,0,4,73.7779998779297,5,17.6749999523163,1,4.21900010108948,0,0,0,0,0,0,0,0,46,37,18,19,1.6140350877193,172.738553573571,1,2,4.5,NA,3,4,4,4,4,3,3,4,4,11,8,7,7
"S056c1",34,"adaptive","056c1","Cornfield","2019-05-20 11:58:34",-0.897,-0.9458,-0.8338,-0.7865,-0.9665,-0.9674,-0.9674,-0.9674,-0.6941,-0.8472,-0.0053,-0.7651,-0.7432,-0.9586,2e-04,0.0724,0.9274,"L","5/10/19 11:44",1573,1,0,0,"Boy",0,"Black or African American",0,"11th",0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,"5/20/19 12:02",467,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,4,4,"Adaptive","Selected",0,"Boy","No WE",2,5,3,1,2,2,1,2,3,1,1,1,3,3,4,4,22,16,1,3,3,2,2,2.66666666666667,2.2,1,1,1,1,1,2,0,1,NA,4,0,3,14,1724,90,356989,0.99517071954598,0,0.00482928045401959,"ToolLs preference",65,1.80555555555556,"Adaptive",0,0,0,0,2,1.72399997711182,2,355.265000104904,0,0,1,34.0310001373291,0,0,0,0,19,9,9,0,1.86111111111111,215.103833335,0,0,2.5,"Black",1,1,0,2,0,1,2,1,0,2,3,1,2
"S059c1",35,"adaptive","059c1","Seesaw","2019-05-20 11:58:22",-0.8926,-0.9457,-0.6327,-0.8854,-0.9667,-0.9674,-0.9674,-0.9674,-0.9424,0.0032,1.687e-06,-0.9674,-0.7435,-0.9057,1e-04,0.0771,0.9228,"L","5/10/19 11:52",879,1,0,0,"Girl",0,"Black or African American",0,"11th",1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,"5/20/19 12:02",633,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,7,7,"Adaptive","Selected",0,"Girl","WE",4,5,5,4,3,4,4,4,5,4,4,4,5,3,4,5,42,25,1,1,1,2,1,4.16666666666667,4.2,1,2,3,1,4,1,1,1,0.698970004336019,15,122,7,23,223285,500,254812,0.123247727736527,0.000478784358664427,0.876273487904808,"3",171,3.16666666666667,"Adaptive",6,24.859,7,339.618999958038,1,2.46000003814697,3,31.4050002098084,2,8.69000005722045,3,134.839999914169,1,32.2660000324249,1,0,33,33,21,13,3.96296296296296,163.37496296037,1,2,4.5,"Black",1,3,1,3,2,2,0,0,2,5,3,4,2
"S060c1",36,"adaptive","060c1","Dominos","2019-05-23 10:54:55",-0.3347,-0.5353,-0.0624,-0.1407,-0.5186,-0.9674,-0.9674,-0.9674,-0.9666,0.7479,0.9674,-0.9674,-0.6174,0.9674,0.0144,0.6252,0.3604,"M","5/10/19 11:57",1153,1,0,0,"Boy",0,"White",0,"10th",0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0,"5/23/19 10:56",612,1,0,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,9,8,"Adaptive","Selected",-1,"Boy","WE",4,4,4,4,3,3,4,3,4,3,4,4,3,3,3,3,36,20,2,2,3,3,3,3.33333333333333,3.6,4,3,1,1,4,1,2,1,0.477121254719662,11,0,7,19,67946,800,91856,0.260298728444522,0,0.739701271555478,"3",460,3.65079365079365,"Adaptive",2,0,2,15.1690001487732,3,13.3499999046326,5,23.9099998474121,0,0,0,0,0,0,0,0,55,43,20,23,4.74712643678161,108.038313937907,1,1,4,"White",2,4,2,2,2,3,0,2,0,8,4,3,2
"S061c1",37,"adaptive","061c1","Newton's Cradle","2019-05-23 10:53:55",-0.7622,-0.8741,-0.1341,-0.8116,-0.889,-0.9674,-0.9674,-0.9674,-0.967,0.9364,0,-0.9674,-0.9674,0.9674,0.0017,0.2087,0.7896,"L","5/10/19 11:58",606,1,0,0,"Boy",0,"White",0,"10th",1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,"5/23/19 10:56",436,1,0,1,0,0,0,1,1,0,1,1,0,0,0,1,1,0,1,8,9,"Adaptive","Selected",1,"Boy","WE",1,2,2,3,3,4,2,1,1,1,5,3,3,3,2,3,20,19,4,4,3,4,3,3.16666666666667,2,4,2,1,1,3,1,2,3,0.301029995663981,7,0,6,7,62245,960,76651,0.187942753519197,0,0.812057246480803,"3",368,2.45333333333333,"Adaptive",3,0,1,27.9170000553131,3,11.8760001659393,2,14.4059998989105,0,0,0,0,0,0,0,0,63,50,15,36,2.59821428571429,70.0266160680357,1,1,1,"White",1,3,3,3,2,1,2,0,2,7,3,3,4
"S065c1",38,"adaptive","065c1","Broken Guitar","2019-05-17 13:49:45",-0.4836,-0.677,-0.1789,-0.2103,-0.747,-0.9674,-0.9674,-0.9674,-0.7277,0.4847,0.9674,-0.9674,-0.9646,0.9674,0.0085,0.483,0.5084,"L","5/10/19 13:32",710,1,0,0,"Boy",0,"American Indian or Alaska Native",0,"11th",1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,"5/20/19 13:35",636,1,1,1,1,0,1,1,1,0,1,0,0,0,1,1,0,0,0,12,10,"Adaptive","Selected",-2,"Boy","WE",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,30,18,3,3,3,3,3,3,3,5,3,2,2,4,3,0,3,0,1,0,6,15,18540,790,18540,0,0,1,"3",170,2.46376811594203,"Adaptive",6,0,1,18.539999961853,0,0,0,0,0,0,0,0,0,0,0,0,51,45,14,32,2.50724637681159,104.740956514928,1,2,3,NA,3,4,2,4,4,1,1,2,1,9,6,2,5
"S066c1",39,"adaptive","066c1","Collision","2019-05-20 13:21:50",-0.3016,-0.5,0.2305,-0.1251,-0.6198,-0.9674,-0.9674,-0.9674,0.2035,0.8017,0.9674,-0.9674,-0.955,0.9674,0.0228,0.6427,0.3346,"M","5/10/19 13:26",687,1,0,0,"Boy",0,"Black or African American",0,"10th",1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,"5/20/19 13:31",675,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,12,15,"Adaptive","Selected",3,"Boy","WE",5,3,3,5,5,5,5,4,4,4,5,3,4,4,5,5,43,26,3,3,2,1,1,4.33333333333333,4.3,5,2,3,2,4,3,4,4,0.477121254719662,5,0,10,19,71081,600,71081,0,0,1,"3",127,2.18965517241379,"Adaptive",6,1.568,3,67.0520000457764,2,4.02900004386901,0,0,0,0,0,0,0,0,0,0,39,38,20,21,2.24137931034483,105.079275861034,1,2,4.5,"Black",2,3,4,2,4,3,2,3,4,9,5,7,6
"S067c1",40,"adaptive","067c1","Collision","2019-05-20 13:19:05",-0.2102,-0.3892,0.447,-0.0845,-0.5417,-0.9674,-0.9674,-0.9674,0.6147,0.9268,0.9674,-0.9674,-0.9525,0.9674,0.0349,0.7129,0.2522,"M","5/10/19 13:31",658,1,0,0,"Boy",0,"Black or African American",0,"11th",0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,"5/20/19 13:34",753,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,15,12,"Adaptive","Selected",-3,"Boy","WE",4,4,4,3,2,3,4,4,3,3,3,4,2,3,3,3,34,18,2,2,4,3,3,3,3.4,6,3,4,2,6,3,2,1,0.477121254719662,14,0,5,18,57184,680,66042,0.134126767814421,0,0.865873232185579,"3",128,1.80281690140845,"Adaptive",4,0,4,45.5849997997284,8,11.5989999771118,3,8.85800004005432,0,0,0,0,0,0,0,0,44,44,26,21,1.8169014084507,114.890971833944,1,1,3.5,"Black",4,4,4,3,3,4,0,3,2,12,6,6,3
"S068c1",41,"adaptive","068c1","Lollipop","2019-05-20 13:32:56",-0.3853,-0.5996,0.0389,-0.1624,-0.6937,-0.9674,-0.9674,-0.9674,-0.6437,0.9234,0.9674,-0.9674,-0.9674,0.9674,0.0122,0.5774,0.4104,"M","5/10/19 13:33",685,1,0,0,"Girl",0,"White",0,"10th",1,0,1,0,0,1,0,1,1,0,1,1,1,1,0,1,1,1,"5/20/19 13:38",430,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,12,12,"Adaptive","Selected",0,"Girl","WE",2,3,1,4,3,4,4,3,1,2,5,5,3,4,5,4,27,26,3,5,3,1,2,4.33333333333333,2.7,3,3,4,2,4,2,4,2,0.301029995663981,34,140706,7,9,87187,690,227893,0,0.617421333696077,0.382578666303923,"PhysicLS preference",278,3.02173913043478,"Adaptive",7,61.181999994278,2,38.2800002098083,27,48.9069995880127,0,0,0,0,0,0,0,0,2,3.3,61,48,30,19,3.09782608695652,109.283445658261,1,2,1.5,"White",1,3,3,2,2,4,2,3,4,7,5,8,4
"S072c1",42,"adaptive","072c1","Seesaw","2019-05-20 13:32:19",-0.6761,-0.8008,0.1929,-0.7511,-0.9213,-0.9674,-0.9669,-0.9674,0.8287,0.9674,0,-0.9674,-0.5298,-0.3443,0.004,0.293,0.7029,"L","5/10/19 13:33",986,1,0,0,"PNA",0,"PNS",0,"10th",0,0,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,"5/20/19 13:38",628,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,17,"Adaptive","Not Selected",5,"Girl","No WE",5,4,5,2,2,4,3,4,5,3,5,4,3,3,4,4,37,23,2,1,3,2,2,3.83333333333333,3.7,3,2,3,4,6,4,4,3,NA,14,73278,4,22,10154,450,142550,0.414717642932304,0.514051210101719,0.0712311469659768,"PhysicLS preference",110,2,"Adaptive",5,73.2329998016357,3,171.50500002861,6,10.1539998054504,5,59.1180002689361,0,0,1,55.228000164032,0,0,1,91.2860000133514,34,31,17,14,2,95.8267454669091,1,1,5,NA,3,3,3,2,3,3,4,4,4,9,6,7,7
"S073c1",43,"adaptive","073c1","Laundry Day","2019-05-20 13:35:29",-0.6662,-0.7949,-0.484,-0.7435,-0.6516,-0.9674,-0.9674,-0.9674,-0.0281,-0.5874,3e-04,-0.9674,-0.0707,0.7479,0.0042,0.303,0.6928,"L","5/10/19 13:33",515,1,0,0,"Girl",0,"White",0,"10th",1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,"5/20/19 13:38",742,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,15,15,"Adaptive","Selected",0,"Girl","WE",4,4,2,5,5,5,5,4,3,3,4,4,3,3,4,5,40,23,2,4,3,2,1,3.83333333333333,4,5,4,4,2,5,3,4,3,0,3,0,10,16,27475,770,27475,0,0,1,"3",356,4.23809523809524,"Adaptive",0,0,0,0,2,4.4559998512268,0,0,0,0,0,0,0,0,0,0,49,45,21,27,4.38372093023256,79.0102674363954,0,0,3.5,"White",3,3,4,4,3,4,2,3,4,10,7,8,5
"S074c1",44,"adaptive","074c1","Mobile","2019-05-20 13:28:05",-0.8139,-0.9141,-0.1445,-0.8459,-0.9622,-0.9674,-0.9674,-0.9674,-0.9419,0.9415,0.0012,-0.9671,-0.9657,-0.0051,4e-04,0.1579,0.8417,"L","5/10/19 12:36",3654,1,0,0,"Girl",0,"Black or African American",0,"11th",1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,"5/20/19 13:31",816,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,8,13,"Adaptive","Selected",5,"Girl","WE",4,4,3,5,5,2,4,4,4,4,5,3,4,5,5,2,39,24,2,3,2,1,4,4,3.9,2,1,2,3,5,2,3,3,1,17,37,10,19,206874,550,215683,0.0406707992748617,0.000171548058956895,0.959157652666181,"3",139,2.31666666666667,"Adaptive",14,0,10,198.134999513626,4,8.73900008201599,2,8.7720000743866,0,0,0,0,1,6.06099987030029,0,0,34,31,25,13,2.46666666666667,114.6485499925,1,2,4,"Black",2,3,2,2,4,3,2,1,2,7,3,5,6
"S077c1",45,"adaptive","077c1","Laundry Day","2019-05-20 13:30:23",-0.2943,-0.4975,0.2482,-0.1185,-0.6221,-0.9674,-0.9674,-0.9674,0.1083,0.965,0.9674,-0.9588,-0.9672,0.9674,0.0226,0.6505,0.3268,"M","5/13/19 13:33",255,1,0,0,"Boy",0,"White",0,"11th",1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,"5/20/19 13:32",463,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,14,15,"Adaptive","Selected",1,"Boy","WE",4,4,4,5,4,5,4,4,4,3,3,3,4,4,3,1,41,18,2,2,2,3,5,3,4.1,5,4,3,2,6,4,4,1,0.301029995663981,10,0,9,19,60807,790,69463,0.124613103378777,0,0.875386896621223,"3",207,3.18461538461538,"Adaptive",1,0,0,0,5,10.5159997940063,3,8.65600037574767,0,0,0,0,0,0,0,0,56,49,21,28,3.21538461538462,100.044890635312,1,1,4,"White",3,4,4,4,3,3,0,4,4,11,8,7,3
"S078c1",46,"adaptive","078c1","Mr Green","2019-05-20 13:37:41",-0.3668,-0.5723,0.0838,-0.1547,-0.6742,-0.9674,-0.9674,-0.9674,-0.2154,0.7928,0.9674,-0.9674,-0.9638,0.9623,0.0157,0.5894,0.3949,"M","5/10/19 13:33",516,1,0,0,"Girl",0,"46",0,"10th",0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,"5/20/19 13:38",457,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,14,13,"Adaptive","Selected",-1,"Girl","WE",5,5,1,3,2,3,4,5,5,5,4,4,4,4,4,4,38,24,1,5,2,2,2,4,3.8,5,3,4,2,5,3,3,2,0.778151250383644,24,26946,5,21,132255,510,161288,0.0129395863300432,0.167067605773523,0.819992807896434,"3",102,1.75862068965517,"Adaptive",6,35.8060000362396,5,66.2850000858307,15,32.0370004177094,1,2.08700013160706,0,0,0,0,0,0,0,0,40,34,20,15,2.08620689655172,113.550724132586,1,2,5,NA,2,4,4,2,3,4,1,4,3,10,6,7,4
"S080c1",47,"adaptive","080c1","Wavy","2019-05-17 13:58:41",-0.1825,-0.3568,0.505,-0.0605,-0.5214,-0.9674,-0.9674,-0.9673,0.7464,0.9283,0.9671,-0.9307,-0.9519,0.9559,0.0408,0.7297,0.2295,"M","5/10/19 12:39",3874,1,0,0,"Boy",0,"38",0,"11th",0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,"5/20/19 13:31",1101,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,13,13,"Adaptive","Selected",0,"Boy","WE",4,2,3,4,4,4,4,3,3,4,4,4,5,4,3,3,35,23,4,3,1,3,3,3.83333333333333,3.5,5,3,3,2,4,3,3,3,0,5,0,8,16,37728,460,42447,0.111173934553679,0,0.888826065446321,"3",105,2.33333333333333,"Adaptive",3,0,2,34.0260000228882,3,3.70199990272522,1,4.71900010108948,0,0,0,0,0,0,0,0,32,32,20,12,2.33333333333333,164.770422215111,1,1,3.5,NA,2,4,3,2,4,3,1,4,3,9,6,6,5
"S081c1",48,"adaptive","081c1","Kind Cloud","2019-05-20 13:29:41",-0.4665,-0.6738,-0.1251,-0.2054,-0.7531,-0.9674,-0.9674,-0.9674,0.0446,0.0225,0.9577,-0.9669,-0.9313,0.8672,0.0073,0.5033,0.4895,"M","5/10/19 12:37",3564,1,0,0,"Boy",0,"36",0,"10th",1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,"5/20/19 13:31",674,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,1,13,12,"Adaptive","Selected",-1,"Boy","WE",4,4,3,5,5,5,5,3,5,2,5,5,2,5,1,1,41,19,2,3,4,5,5,3.16666666666667,4.1,5,2,4,2,6,3,2,1,0.698970004336019,7,0,10,18,254651,700,256615,0.00765348868928161,0,0.992346511310718,"3",146,1.825,"Adaptive",1,0,4,225.024999856948,1,2.90799999237061,1,1.96399998664856,0,0,0,0,0,0,0,0,44,41,14,28,1.825,55.383162514875,1,1,4.5,NA,3,4,4,4,3,3,0,1,3,11,5,6,3
"S083c1",49,"adaptive","083c1","Seesaw","2019-05-20 13:20:59",-0.8411,-0.9154,-0.4744,-0.8551,-0.9276,-0.9674,-0.9673,-0.9674,-0.7062,0.1583,3e-04,-0.9674,0.1574,-0.4714,9e-04,0.1289,0.8702,"L","5/10/19 12:47",2673,1,0,0,"Girl",0,"White",0,"11th",0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,"5/20/19 13:31",670,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,14,14,"Adaptive","Selected",0,"Girl","WE",5,5,5,4,4,4,4,4,5,5,5,5,5,5,5,5,45,30,1,1,1,1,1,5,4.5,5,3,4,2,4,4,4,2,0,2,0,8,25,18790,430,18790,0,0,1,"3",166,2.24324324324324,"Adaptive",3,0,3,18.7900000247955,1,2.8659999370575,0,0,0,0,0,0,0,0,0,0,28,27,20,11,2.35135135135135,73.1217837755405,1,1,5,"White",2,4,3,3,4,4,0,4,4,9,7,8,4
"S084c1",50,"adaptive","084c1","Collision","2019-05-20 13:19:19",-0.4372,-0.6535,0.1694,-0.1815,-0.9355,-0.9674,-0.9674,-0.9674,0.334,0.7883,0.9673,-0.9673,-0.967,-0.0024,0.0057,0.5367,0.4576,"M","5/10/19 13:24",1245,1,0,0,"Boy",0,"36",0,"10th",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"5/20/19 13:31",1335,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,17,15,"Adaptive","Selected",-2,"Boy","WE",4,4,4,3,3,4,2,4,4,2,2,3,5,3,2,3,34,18,2,2,1,4,3,3,3.4,6,4,4,3,5,4,4,2,0,7,314,6,18,39378,500,39692,0,0.00791091403809332,0.992089085961907,"3",150,1.59574468085106,"Adaptive",11,0,1,19.989000082016,5,19.3889999389649,0,0,0,0,0,0,0,0,0,0,35,32,21,14,1.63829787234043,63.5618510561702,1,2,4,NA,4,3,4,4,3,4,2,4,4,11,8,8,5
"S085c1",51,"adaptive","085c1","UFO2","2019-05-20 13:19:11",-0.3525,-0.5552,0.1892,-0.1472,-0.7164,-0.9674,-0.9674,-0.9674,0.2068,0.7609,0.9674,-0.9674,-0.9643,0.6821,0.0177,0.6003,0.382,"M","5/10/19 13:27",760,1,0,0,"Boy",0,"White",0,"11th",1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,"5/20/19 13:31",486,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,12,14,"Adaptive","Selected",2,"Boy","WE",5,4,5,3,2,3,4,3,4,4,5,4,3,5,5,3,37,25,2,1,3,1,3,4.16666666666667,3.7,5,1,3,3,3,3,4,4,0.954242509439325,15,0,5,22,190899,510,195725,0.0246570443223911,0,0.975342955677609,"3",167,2.03658536585366,"Adaptive",4,0,10,178.201999902725,6,12.6970000267029,1,4.82599997520447,0,0,0,0,0,0,0,0,36,34,19,15,2.0609756097561,82.1110609781707,1,1,4.5,"White",2,3,3,3,4,4,3,1,3,8,4,7,7
"S086c1",52,"adaptive","086c1","Freefall","2019-05-20 13:30:48",-0.3084,-0.5141,0.2174,-0.1274,-0.6337,-0.9674,-0.9674,-0.9674,0.0311,0.9569,0.9674,-0.9674,-0.9668,0.9674,0.0206,0.6401,0.3393,"M","5/10/19 12:43",3269,1,0,0,"Boy",0,"White",0,"11th",0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,"5/20/19 13:32",737,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,12,15,"Adaptive","Selected",3,"Boy","No WE",5,3,4,5,4,5,4,4,5,4,5,3,2,3,4,5,43,22,3,2,4,2,1,3.66666666666667,4.3,5,1,4,2,6,4,4,1,NA,7,0,9,21,10588,620,13558,0.219058858238678,0,0.780941141761322,"3",182,1.87628865979381,"Adaptive",17,0,0,0,6,10.5880000591278,1,2.97000002861023,0,0,0,0,1,0.617000102996826,0,0,42,42,26,18,1.90721649484536,74.8472783373196,1,2,5,"White",4,3,4,2,3,4,0,3,4,11,5,8,3
"S087c1",53,"adaptive","087c1","Spiral","2019-05-20 14:24:20",-0.5046,-0.6992,-0.23,-0.22,-0.7609,-0.9674,-0.9674,-0.9674,-0.9472,0.4851,0.9674,-0.9674,-0.9605,0.9674,0.0065,0.4655,0.5281,"L","5/10/19 14:40",469,1,0,0,"Boy",0,"White",0,"11th",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"5/20/19 14:25",458,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17,18,"Adaptive","Selected",1,"Boy","WE",5,5,2,5,5,5,5,5,5,5,5,1,3,4,5,2,47,20,1,4,3,1,4,3.33333333333333,4.7,6,3,4,4,6,4,4,4,0.845098040014257,10,5357,10,22,179056,1290,184413,0,0.0290489282208955,0.970951071779105,"3",260,2.73684210526316,"Adaptive",4,0,0,0,2,4.04800009727478,0,0,0,0,0,0,0,0,0,0,74,74,32,46,3.03157894736842,43.6530526208421,1,1,5,"White",4,4,4,3,4,4,4,4,4,12,7,8,8
"S090c1",54,"adaptive","090c1","Lollipop","2019-05-20 14:24:43",-0.356,-0.5519,-0.0074,-0.1415,-0.5889,-0.9674,-0.9674,-0.9674,-0.4533,0.625,0.9674,-0.9345,-0.77,0.9674,0.0183,0.5954,0.3863,"M","5/10/19 14:09",1422,1,0,0,"Boy",0,"36",0,"11th",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,"5/20/19 14:25",721,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,17,16,"Adaptive","Selected",-1,"Boy","WE",5,5,5,4,5,4,4,5,4,4,1,3,3,3,3,1,45,14,1,1,3,3,5,2.33333333333333,4.5,6,4,4,3,6,3,4,3,0.698970004336019,6,0,9,23,68425,650,68425,0,0,1,"3",135,1.48351648351648,"Adaptive",7,0,5,65.2579998970032,1,3.16699981689453,0,0,0,0,0,0,0,0,0,0,47,47,31,17,1.49450549450549,73.5604505432967,1,2,4.5,NA,4,4,4,4,3,4,3,3,4,12,7,8,6
"S091c1",55,"adaptive","091c1","Cosmic Cave","2019-05-24 10:55:55",-0.3984,-0.5784,-0.1157,-0.4627,-0.4055,-0.9674,-0.9674,-0.9674,-0.0303,0.0019,0.2924,-0.9674,-0.1548,0.9674,0.0121,0.5639,0.424,"M","             ",663,1,0,0,"Boy",0,"White",0,"10th",0,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,"             ",370,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,11,11,"Adaptive","Selected",0,"Boy","WE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,4,2,5,1,3,2,0.698970004336019,13,0,NA,NA,113776,1160,113776,0,0,1,"3",558,5.02702702702703,"Adaptive",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,51,15,37,5.25,90.8892717294565,1,2,NA,"White",2,2,4,2,4,3,0,1,4,8,3,7,4
