"","app","uid","context","timestamp","Physics_EAP","ForceAndMotion_EAP","LinearMomentum_EAP","Energy_EAP","Torque_EAP","NFL_EAP","NSL_EAP","NTL_EAP","POfMom_EAP","ConOfMom_EAP","EnergyTransfer_EAP","EnergyDissipate_EAP","StaticEquilibrium_EAP","PropertiesofTorque_EAP","Physics_Margin.High","Physics_Margin.Medium","Physics_Margin.Low"
"34","linear","154c2","Mobile",2019-05-23 10:55:10,-0.8252,-0.9233,-0.9217,-0.378,-0.9219,-0.9674,-0.9601,-0.9674,-0.9674,-0.9672,0.9674,-0.9674,-0.9674,0.9674,5e-04,0.146,0.8535
"35","linear","155c2","Broken Heart",2019-05-20 11:56:08,-0.2112,-0.3771,0.4466,-0.084,-0.5386,-0.9674,-0.9298,-0.9674,0.6819,0.838,0.9673,-0.9669,-0.9625,0.9673,0.0359,0.7098,0.2542
"36","linear","156c2","Fireworks",2019-05-20 11:58:56,-0.3349,-0.5424,0.1562,-0.1396,-0.6534,-0.9674,-0.9674,-0.9674,9e-04,0.8314,0.9673,-0.9674,-0.9665,0.9674,0.0179,0.618,0.3641
"37","linear","157c2","Breakfast time",2019-05-17 12:21:56,-0.8255,-0.9239,-0.9215,-0.3801,-0.9218,-0.9674,-0.9618,-0.9674,-0.9669,-0.9665,0.9633,-0.9669,-0.9664,0.9674,5e-04,0.1458,0.8537
"38","linear","158c2","Not too Far",2019-05-20 11:56:36,-0.4413,-0.648,-0.0857,-0.1892,-0.7279,-0.9674,-0.967,-0.9674,-0.0452,0.1951,0.9674,-0.9674,-0.9674,0.9655,0.0092,0.5255,0.4654
"39","linear","160c2","Breakfast time",2019-05-20 11:58:23,-0.8145,-0.914,-0.901,-0.3725,-0.9152,-0.9674,-0.9547,-0.9672,-0.965,-0.9282,0.9666,-0.9674,-0.9642,0.965,6e-04,0.1568,0.8426
"40","linear","161c2","Fireworks",2019-05-16 12:28:53,-0.6411,-0.8,-0.5236,-0.2871,-0.834,-0.9674,-0.9674,-0.9674,-0.965,-0.1319,0.9674,-0.9674,-0.9667,0.9674,0.003,0.3313,0.6657
"41","linear","162c2","Spring",2019-05-23 10:56:12,-0.7396,-0.8665,-0.7359,-0.3359,-0.8813,-0.9674,-0.966,-0.9674,-0.9482,-0.5891,0.9674,-0.9674,-0.9673,0.9674,0.0017,0.2322,0.7661
"42","linear","163c2","Down Hill",2019-05-17 11:58:01,-0.7798,-0.5494,-0.5457,-0.7145,-0.8734,-0.5454,-0.4574,-0.6602,-0.4543,-0.6326,-0.4301,-0.7138,-0.6617,-0.4044,0.0041,0.1857,0.8102
"43","linear","164c2","Stairs",2019-05-23 10:52:13,-0.5008,-0.6904,-0.1437,-0.2718,-0.7578,-0.9674,-0.967,-0.9674,-0.0778,0.1259,0.8546,-0.9674,-0.9674,0.9674,0.0077,0.467,0.5253
"44","linear","165c2","Broken Heart",2019-05-20 12:01:23,-0.5479,-0.6929,-0.3112,-0.2436,-0.7602,-0.9674,-0.9483,-0.9674,-0.1484,-0.2219,0.9671,-0.9674,-0.9648,0.9667,0.0127,0.4083,0.579
"45","linear","167c2","Cosmic Cave",2019-05-23 10:55:39,-0.6068,-0.7683,-0.4541,-0.2685,-0.8144,-0.9508,-0.9651,-0.9674,-0.9638,2e-04,0.9674,-0.9674,-0.9673,0.9674,0.0035,0.3658,0.6308
"46","linear","168c2","Tetherball",2019-05-23 10:53:35,-0.06,-0.2307,0.6403,0.1489,-0.4223,-0.9674,-0.8529,-0.9672,0.8819,0.9663,0.9674,-0.4858,-0.9429,0.9674,0.0864,0.7651,0.1485
"47","linear","169c2","Broken Heart",2019-05-20 11:59:10,-0.4615,-0.6149,-0.1186,-0.2014,-0.7056,-0.9674,-0.9437,-0.9674,0.0648,0.0436,0.9671,-0.9644,-0.9642,0.9655,0.018,0.4869,0.495
"48","linear","170c2","Mobile",2019-05-20 13:31:50,-0.759,-0.8538,-0.7878,-0.3389,-0.8842,-0.9674,-0.8971,-0.9671,-0.9674,-0.7153,0.9674,-0.9663,-0.9673,0.9095,0.0014,0.2127,0.7859
"49","linear","172c2","Timing is Everything",2019-05-20 13:35:25,-0.7268,-0.8497,-0.7152,-0.328,-0.8703,-0.9674,-0.9473,-0.9673,-0.4445,-0.8728,0.9674,-0.9674,-0.9628,0.9674,0.0019,0.2448,0.7532
"50","linear","174c2","Back and Forth",2019-05-17 13:41:32,-0.804,-0.874,-0.7497,-0.4899,-0.9572,-0.9674,-0.9048,-0.9674,-0.6241,-0.7842,0.3702,-0.5493,-0.9501,-0.482,0.0022,0.1644,0.8333
"51","linear","176c2","Collision",2019-05-20 13:25:04,-0.4011,-0.5766,0.0541,-0.2066,-0.679,-0.9674,-0.9415,-0.9674,0.2851,0.2809,0.8909,-0.9674,-0.9639,0.9672,0.0175,0.5503,0.4322
