6/9/06																																																																
<DEMOGRAPHICS>																																																																
Config		control TRUE	FALSE	adaptiveAcc	adaptiveFull	linearFull	control																																																									
</DEMOGRAPHICS>																																																																
		commonRatio	commonRatio	commonRatio	commonRatio	commonRatio	commonRatio	examples	examples	examples	examples	examples	examples	explicit	explicit	explicit	explicit	explicit	explicit	extend	extend	extend	extend	extend	extend	distinguish	distinguish	distinguish	distinguish	distinguish	distinguish	model	model	model	model	model	model	recursive	recursive	recursive	recursive	recursive	recursive	table	table	table	table	table	table	verbal	verbal	verbal	verbal	verbal	verbal	visual	visual	visual	visual	visual	visual	visual	visual	visual
NAME	Config	CR1a	CR1b	CR2a	CR2b	CR3a	CR3b	Examp1a	Examp1b	Examp2a	Examp2b	Examp3a	Examp3b	Expl1a	Expl1b	Expl2a	Expl2b	Expl3a	Expl3b	Ext1a	Ext1b	Ext2a	Ext2b	Ext3a	Ext3b	Dist1a	Dist1b	Dist2a	Dist2b	Dist3a	Dist3b	MExtT1a	MExtT1b	MExtT2a	MExtT2b	MExtT3a	MExtT3b	RR1a	RR1b	RR2a	RR2b	RR3a	RR3b	TExt1a	TExt1b	TExt2a	TExt2b	TExt3a	TExt3b	VRExpl2a	VRExpl3a	VRExt1a	VRExt1b	VRExt2a	VRM3a	VExplVRM3a	VExplVRM3b	VExt1a	VExt1b	VExt1c	VExt2a	VExt3a	VETMVR2a	VEVRM2a
S300	adaptiveAcc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	.	0	.	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
S293	linearFull	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	.	1	.	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
S316	adaptiveFull	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	1	1	1	0	0	.	.	1	1	1	1	.	.	.	.	.	.	.	.	0	0	1	1	.	.	.	.	.	0	.	.	0	.	.	1	0	0	1
S319	adaptiveFull	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	.	0	.	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	1	0	1	1	1	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0
S317	linearFull	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	.	0	.	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
S318	adaptiveAcc	0	1	1	0	0	0	0	0	1	1	0	0	0	1	0	1	1	0	0	.	1	.	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
S320	linearFull	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	.	0	.	0	0	1	1	1	0	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	0	0	1	0	0	1	0	0	0	0	.	.	.	.	.	.	.	.	.	.
S315	adaptiveAcc	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	.	1	.	1	0	1	1	0	0	0	0	1	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0
S334	linearFull	1	1	1	1	0	0	0	0	1	0	1	1	1	1	0	0	0	0	1	.	0	.	0	1	0	0	0	0	1	0	1	1	1	1	0	0	1	1	0	0	0	0	1	0	1	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0
S324	adaptiveFull	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	.	0	.	1	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0
S325	linearFull	1	1	1	1	0	1	0	1	1	1	1	1	0	0	0	0	0	1	1	.	1	.	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	1	1	0	1	1	1	1	1	0	1	1	1	0	0	0	1	1	1	0	1	0
S328	linearFull	1	1	0	1	1	1	1	1	1	0	1	0	0	1	0	0	0	0	0	.	1	.	1	1	1	1	1	1	0	0	1	0	0	1	0	0	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0
S327	adaptiveFull	0	0	1	0	0	0	0	0	0	0	0	0	.	.	.	.	.	.	0	.	0	.	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	.	0	1	0	0	0	1	0	0	0	1	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0
S323	adaptiveAcc	1	.	1	1	0	0	1	1	1	0	1	1	1	0	0	0	0	0	0	.	1	.	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	0	1	1	1	0	0	1	0	1	0	0	0	1	1	0	1	1
S336	adaptiveFull	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	.	0	.	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
S333	adaptiveFull	1	1	1	1	1	1	0	0	0	0	0	0	0	1	0	1	0	0	.	.	0	.	.	.	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	0	1	1	0	0	0	1	1	1	0	1	0	1
S332	adaptiveAcc	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	.	1	.	1	1	0	1	0	1	1	1	1	0	1	1	0	1	1	0	0	0	1	0	1	0	1	1	0	0	1	0	0	0	1	0	1	0	1	1	1	1	0	0	1
S331	linearFull	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	.	1	.	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1
S329	adaptiveAcc	1	1	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	1	.	0	.	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	1	0	1	1	0	1	0	0	0	1	1	0	0	0	0	0	0	1
S326	adaptiveAcc	1	.	.	.	.	.	.	.	0	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1	1	0	0	1	0	1	0	1	1	0	0	.	.	.	.	.	.	.	.	.	.	0	.	.	.	.	.	1	0	1	0	0	.	.	1	0	0	1
S338	adaptiveAcc	0	0	0	0	0	0	1	1	0	0	0	0	.	.	0	.	.	.	1	.	0	.	1	0	1	0	1	1	0	0	0	0	1	1	0	1	0	1	0	0	1	1	1	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
S335	adaptiveAcc	1	1	1	1	0	.	0	0	0	1	0	0	0	0	0	1	0	1	1	.	1	.	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	0	0	1	1	0	0	0	1	1	1	1	1	0	0	1	0	0	0	0	0	0	1	0
S337	linearFull	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	.	0	.	0	0	1	0	0	1	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
S330	adaptiveFull	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	1	.	1	.	0	0	1	1	1	0	0	0	1	0	1	1	1	0	0	0	1	1	1	0	1	1	0	1	1	1	1	0	0	1	0	0	1	0	0	1	1	1	0	0	0
S091	linearFull	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	.	0	.	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	1	1	1	1	0	1	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	1
S075	adaptiveFull	1	1	0	1	0	.	1	1	0	1	0	1	0	0	1	1	1	0	1	.	1	.	1	0	1	1	1	1	0	0	1	0	1	1	1	1	0	1	0	1	0	0	0	0	1	0	0	1	1	1	1	0	0	0	1	1	1	1	0	0	0	0	1
S074	adaptiveAcc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	.	0	.	1	1	0	1	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	1	1	1	1	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	1
S088	linearFull	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	.	0	.	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	1	0	1	0	1	1	1	1	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
S082	linearFull	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	.	0	.	0	0	0	0	1	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
S083	adaptiveAcc	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	.	0	.	0	0	1	0	1	1	0	0	0	1	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
S086	adaptiveAcc	1	1	1	1	0	0	1	1	1	1	1	1	0	0	0	1	0	1	1	.	1	.	1	1	1	1	1	1	1	0	1	1	1	1	0	0	0	1	0	0	0	0	1	0	0	1	0	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0
S087	adaptiveFull	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	.	1	.	1	1	0	1	1	1	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1
S080	adaptiveAcc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	.	0	.	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
S078	adaptiveFull	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	.	1	.	1	0	1	1	1	0	0	0	1	0	0	1	0	1	1	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0
S085	linearFull	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	.	1	.	1	0	1	1	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	1	1	0	0	1	1	1	0	0	0	1	0	1	1	1	1	0	0	0	0	0
S084	adaptiveFull	1	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	.	1	.	1	1	0	0	0	0	0	0	1	1	1	1	0	0	1	0	0	1	0	0	1	0	0	0	1	0	1	1	0	0	1	0	0	0	1	1	1	1	0	0	0
S076	linearFull	0	1	0	1	0	0	1	1	0	1	1	1	0	0	0	0	0	0	1	.	0	.	1	0	1	1	0	1	0	0	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	0	0	1	1	1	0	1	0	0	0	0	1	0	0	0	0	1
S081	adaptiveFull	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	.	1	.	1	1	1	1	0	1	0	0	1	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	1	1
S077	adaptiveAcc	0	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	.	0	.	1	0	1	1	1	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0
S089	adaptiveAcc	0	0	0	0	0	0	.	.	0	0	0	0	.	.	.	0	.	.	0	.	0	.	1	1	0	1	1	0	0	1	1	0	1	0	0	0	.	.	.	.	.	.	0	0	1	0	0	1	1	0	0	1	0	0	0	.	0	0	0	0	0	1	1
S090	adaptiveFull	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	.	0	.	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	1	0	1	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
S079	linearFull	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	1	1	.	1	.	0	1	1	1	1	1	0	0	1	1	1	1	0	0	0	0	1	0	1	1	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0
S113	adaptiveFull	1	1	1	1	0	0	1	1	1	1	1	1	0	1	0	0	0	0	1	.	1	.	1	1	0	1	0	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	0
S101	adaptiveFull	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	.	0	.	1	1	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
S099	linearFull	0	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	.	0	.	1	0	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S111	linearFull	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	.	1	.	1	1	0	0	0	0	0	0	1	1	1	1	0	0	1	0	0	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
S114	linearFull	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	.	1	.	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0
S102	linearFull	1	1	1	1	1	1	0	0	0	1	1	1	0	0	0	1	0	0	1	.	1	.	0	0	1	1	0	1	1	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
S098	adaptiveFull	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	.	1	.	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1
S100	adaptiveAcc	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	.	1	.	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
S106	adaptiveAcc	.	.	1	1	.	.	0	0	0	0	0	0	1	1	0	1	0	0	.	.	0	.	.	.	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	0	1	0	1	0	1	1	0	0	0	0	1
S103	adaptiveAcc	.	.	.	.	.	.	1	1	1	1	1	1	1	0	1	1	1	1	.	.	.	.	.	.	1	1	0	1	1	1	1	0	1	1	0	1	0	1	1	0	1	0	0	.	1	1	1	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	1
S110	adaptiveFull	1	.	0	1	0	0	1	1	1	1	1	1	0	0	0	1	0	0	1	.	1	.	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	0	1	0	0	0	1	1	1	1	0	1	1
S107	adaptiveFull	1	1	0	0	0	0	0	0	0	0	0	0	.	.	.	.	.	.	1	.	0	.	0	1	0	0	0	0	1	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
S109	adaptiveAcc	1	1	1	1	0	0	1	1	1	1	1	1	0	1	0	1	1	0	1	.	1	.	0	1	1	1	1	1	1	0	1	0	1	1	0	1	1	0	0	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	0	1	0	0	1	1
S112	adaptiveAcc	.	.	.	.	.	.	.	.	1	1	1	1	.	.	.	.	.	.	.	.	.	.	.	.	1	1	1	1	0	1	1	1	1	1	0	0	.	.	.	.	.	.	0	1	0	1	1	1	1	0	1	0	1	0	1	0	0	0	.	0	0	0	0
S105	linearFull	1	1	0	1	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	.	1	.	1	1	1	1	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
S104	adaptiveFull	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	.	0	.	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
S108	linearFull	1	1	1	1	0	1	1	0	1	1	1	1	0	0	0	0	0	0	1	.	1	.	1	1	1	1	1	1	0	0	1	1	1	1	0	0	0	1	0	1	1	0	1	1	1	1	0	1	1	0	0	0	1	0	1	1	0	.	.	.	.	.	.
S097	adaptiveAcc	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	.	1	.	1	0	1	1	1	1	1	0	1	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	1	1	1	0	1	0	1	0	1	0	0	0	1	0	0	0	1
S129	adaptiveFull	1	1	1	1	0	0	1	1	1	1	1	1	0	0	0	0	1	1	1	.	1	.	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	0	0	1	0	1	1	1	0	1	0	1	1	1	1	1	0	1
S128	adaptiveAcc	1	1	1	1	0	0	1	1	1	1	0	1	0	1	0	0	0	0	1	.	0	.	0	0	1	0	1	1	0	0	1	0	1	1	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1
S120	adaptiveFull	1	1	1	1	0	0	1	1	0	0	0	0	0	1	0	0	1	1	1	.	1	.	0	0	1	1	1	1	0	0	1	1	1	1	1	1	0	0	0	0	1	1	1	1	0	1	0	1	1	0	0	1	1	0	1	0	0	0	0	1	0	0	1
S136	linearFull	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	1	1	.	1	.	1	1	1	1	1	1	1	0	1	1	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0	1	0	0	0	.	.
S122	adaptiveAcc	1	1	1	1	0	0	1	1	1	1	1	0	0	0	0	0	0	0	1	.	1	.	1	0	1	1	0	1	0	0	1	1	1	1	0	0	1	1	0	0	1	1	1	1	0	1	0	1	1	1	0	1	0	0	0	0	0	1	0	0	1	0	0
S124	linearFull	1	1	1	1	1	1	0	0	0	1	0	0	0	1	0	1	0	0	1	.	0	.	1	1	0	0	1	1	1	1	1	0	1	1	0	0	0	0	0	0	1	1	1	1	0	0	0	1	1	0	1	1	1	1	0	0	0	0	1	1	0	0	0
S127	linearFull	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	.	1	.	1	1	0	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1
S126	adaptiveFull	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	.	0	.	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S134	adaptiveAcc	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	.	1	.	1	1	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	1	0	1	0	1	0	1	1	1	0	1	0	1
S125	adaptiveAcc	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	.	0	.	1	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
S132	adaptiveFull	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	.	0	.	1	0	0	0	1	1	0	0	1	1	0	0	1	0	0	1	0	1	0	0	0	1	1	1	0	1	1	0	1	1	1	0	0	0	0	1	1	0	0	0	0
S121	linearFull	1	1	1	1	0	0	0	1	1	1	1	0	0	1	0	0	1	1	1	.	1	.	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1
S123	adaptiveFull	1	1	1	1	0	0	1	1	1	1	1	0	0	1	0	0	1	0	1	.	0	.	0	0	1	1	1	1	1	0	1	0	1	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	0	0	0	1	1	1	1	0	1	0
S130	linearFull	0	0	1	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	.	1	.	0	0	1	1	1	0	0	0	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	1	1	0	0	1	0	0	1	0	0	1	0	1	0	0	0
S135	adaptiveFull	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	0	0	1	.	1	.	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	0	0	0	1	0	0	1	1	0	1	1	1	0	0	1	1	1	0	0	0	1
S131	adaptiveAcc	1	1	1	0	0	1	1	1	0	1	1	1	0	0	0	0	0	0	1	.	1	.	1	0	1	1	1	1	1	0	1	1	1	1	0	1	1	1	0	1	1	0	1	0	0	0	0	1	1	1	0	0	1	0	1	0	0	1	1	1	0	0	1
S119	adaptiveAcc	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	.	1	.	1	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	1	1	1	0	0	1	1	1	0	0	1
S133	linearFull	1	1	1	1	0	0	0	0	0	1	1	1	0	1	1	1	1	1	1	.	1	.	0	1	0	1	0	0	0	0	1	1	1	1	1	1	1	0	0	1	1	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0	1
S154	linearFull	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	.	1	.	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	0	1
S156	adaptiveFull	1	1	1	1	1	.	1	1	0	1	1	1	1	0	0	0	0	0	1	.	1	.	0	1	1	1	0	0	0	0	1	1	0	0	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	1	0	0	1	0	1	0	1	1	1	1	0	0	1
S143	adaptiveAcc	1	1	1	1	0	0	1	1	0	1	1	1	.	.	0	0	0	0	1	.	1	.	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	1	0	1	1	1	0	0	0	1
S152	adaptiveAcc	1	1	1	1	.	.	1	1	0	1	1	0	.	.	.	.	.	.	.	.	1	.	1	.	1	1	1	1	1	0	1	1	1	1	0	1	0	0	0	0	0	0	1	1	0	1	0	1	1	1	0	1	0	0	0	0	0	1	1	0	0	0	1
S146	adaptiveAcc	1	1	0	0	0	0	1	1	0	0	1	1	.	.	.	.	.	.	.	.	.	.	.	.	0	0	1	1	0	1	1	1	1	1	1	1	.	.	.	.	.	.	0	0	0	0	1	1	0	0	1	1	1	0	0	0	.	.	0	0	0	0	0
S142	linearFull	1	1	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	1	1	.	0	.	0	1	0	1	0	0	1	1	1	1	0	1	0	0	0	0	0	1	1	1	1	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
S141	adaptiveFull	1	1	0	1	0	0	1	1	0	0	1	1	0	1	0	0	0	0	1	.	1	.	0	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	1	0	0	1	0	1	0	1	1	1	1	0	0	1
S145	linearFull	1	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	.	1	.	0	1	1	0	1	1	1	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
S148	linearFull	1	1	1	1	0	1	1	1	0	1	1	0	1	1	1	1	0	1	1	.	1	.	1	1	0	1	1	1	1	1	0	1	1	1	1	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1	0	1	0	0	1	1	0	0	0	0	0	0	0
S144	adaptiveFull	.	.	1	1	.	.	1	0	1	1	1	1	.	.	.	.	1	.	.	.	.	.	.	.	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	0	0	1	1
S140	adaptiveAcc	.	.	0	1	1	.	.	.	0	.	.	.	.	.	.	.	.	.	0	.	.	.	.	.	0	0	1	1	0	0	1	0	1	1	1	1	.	.	.	.	.	.	.	.	0	0	0	1	1	1	0	1	1	0	.	.	0	.	.	0	0	0	1
S151	linearFull	1	1	1	1	0	0	1	1	0	1	1	0	0	0	1	1	0	0	1	.	0	.	1	0	1	1	1	1	0	1	1	1	1	1	0	1	0	1	0	0	0	0	1	1	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0
S147	adaptiveFull	0	0	0	1	0	0	1	1	0	1	1	1	0	0	0	0	0	0	1	.	1	.	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	0	1	0	1	0	1	1	0	1	1	0	0	0	1
S149	adaptiveAcc	1	1	1	1	0	0	1	1	1	1	0	1	0	0	0	1	1	1	1	.	1	.	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	0	1	0	0	0	0	0	0	0	1
S155	adaptiveAcc	1	1	1	1	0	0	1	1	0	0	0	0	.	.	0	1	.	.	1	.	1	.	0	1	1	1	1	1	0	0	0	1	1	1	0	0	1	0	0	0	0	1	0	0	0	0	1	1	1	0	0	1	1	0	0	0	0	0	0	1	0	0	1
S150	adaptiveFull	1	1	1	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	.	1	.	0	1	1	1	0	1	0	0	1	1	1	1	0	0	1	1	0	1	1	0	1	1	0	0	1	1	1	0	1	1	1	0	0	0	0	0	1	0	0	0	1
S153	adaptiveFull	0	0	1	1	0	0	1	1	0	0	0	0	1	1	1	0	0	0	0	.	0	.	0	1	0	0	0	0	1	0	1	0	1	0	0	0	1	1	0	1	0	1	1	1	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
S160	adaptiveAcc	1	1	0	1	0	0	1	1	0	1	1	1	0	.	0	0	0	0	1	.	0	.	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	0	1	0	1	0	0	0	0	1	1	1	0	0	0	0	0
S159	linearFull	0	0	1	1	0	0	0	0	0	0	0	0	1	1	1	0	0	1	1	.	0	.	1	0	1	0	0	0	1	1	1	1	1	0	0	0	0	1	0	0	1	0	1	1	0	1	1	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0
