6/9/06																																																																
<DEMOGRAPHICS>																																																																
Config		control TRUE	FALSE	adaptiveAcc	adaptiveFull	linearFull	control																																																									
</DEMOGRAPHICS>																																																																
		commonRatio	commonRatio	commonRatio	commonRatio	commonRatio	commonRatio	examples	examples	examples	examples	examples	examples	explicit	explicit	explicit	explicit	explicit	explicit	extend	extend	extend	extend	extend	extend	distinguish	distinguish	distinguish	distinguish	distinguish	distinguish	model	model	model	model	model	model	recursive	recursive	recursive	recursive	recursive	recursive	table	table	table	table	table	table	verbal	verbal	verbal	verbal	verbal	verbal	visual	visual	visual	visual	visual	visual	visual	visual	visual
NAME	Config	CR1a	CR1b	CR2a	CR2b	CR3a	CR3b	Examp1a	Examp1b	Examp2a	Examp2b	Examp3a	Examp3b	Expl1a	Expl1b	Expl2a	Expl2b	Expl3a	Expl3b	Ext1a	Ext1b	Ext2a	Ext2b	Ext3a	Ext3b	Dist1a	Dist1b	Dist2a	Dist2b	Dist3a	Dist3b	MExtT1a	MExtT1b	MExtT2a	MExtT2b	MExtT3a	MExtT3b	RR1a	RR1b	RR2a	RR2b	RR3a	RR3b	TExt1a	TExt1b	TExt2a	TExt2b	TExt3a	TExt3b	VRExpl2a	VRExpl3a	VRExt1a	VRExt1b	VRExt2a	VRM3a	VExplVRM3a	VExplVRM3b	VExt1a	VExt1b	VExt1c	VExt2a	VExt3a	VETMVR2a	VEVRM2a
S273	adaptiveFull	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	.	0	.	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
S285	adaptiveFull	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	.	0	.	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
S272	adaptiveAcc	1	.	0	0	0	1	.	.	0	.	.	.	.	.	.	.	1	.	.	.	0	.	0	.	0	0	1	1	1	0	0	.	.	.	.	.	.	.	.	.	.	.	0	0	0	0	.	.	.	.	0	0	1	.	.	.	0	1	0	0	.	0	0
S274	linearFull	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	.	0	.	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
S281	adaptiveAcc	1	0	0	0	0	0	0	.	.	.	.	.	.	.	.	.	.	.	0	.	0	.	0	0	0	1	1	1	0	0	0	0	0	.	.	.	.	.	.	.	.	.	0	0	0	1	0	0	.	.	0	1	1	0	.	.	1	1	0	0	0	0	0
S276	adaptiveFull	.	.	0	0	.	.	.	.	0	.	.	.	.	.	.	.	.	.	.	.	0	.	0	.	0	0	0	0	0	0	0	1	.	.	.	.	.	.	.	.	.	.	1	1	0	0	1	1	.	.	0	0	0	.	.	.	0	0	0	0	.	0	0
S275	adaptiveAcc	0	0	0	0	0	0	.	.	0	0	0	0	.	.	.	.	.	.	0	.	0	.	.	.	0	0	0	0	1	0	0	0	0	1	.	.	.	.	.	.	.	.	0	0	0	0	.	.	.	.	0	0	0	.	.	.	0	0	0	0	0	0	0
S280	linearFull	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	.	0	.	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	.	.	.	.	.	.	.	.	.	.	.	.	.
S282	adaptiveFull	.	.	0	1	0	.	.	.	0	.	.	.	.	.	.	.	.	.	.	.	0	.	0	0	1	1	0	1	1	0	0	0	.	.	.	.	.	.	.	.	.	.	0	.	0	0	0	.	.	.	0	1	1	.	.	0	0	0	0	0	.	0	0
S270	adaptiveFull	1	0	0	0	0	0	.	.	0	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1	1	1	0	0	0	0	0	1	1	0	0	.	.	.	.	.	.	.	.	0	0	1	1	1	.	0	1	1	0	0	0	.	.	.	0	0	0	1
S269	adaptiveAcc	1	1	0	0	0	0	.	.	0	.	.	.	.	.	.	.	.	.	1	.	1	.	0	1	1	1	0	1	1	0	0	0	0	0	.	.	.	.	.	.	.	.	1	1	0	0	1	1	.	.	0	1	1	.	.	.	0	0	.	0	0	0	0
S278	adaptiveAcc	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.	0	.	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0
S279	adaptiveFull	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	0	0	0	0	0	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	0	.	.	.	.	0	0	0	.	.	1	1	1	0	0	0	0	0
S271	linearFull	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	.	0	.	0	0	1	1	0	0	.	.	0	0	0	1	0	1	0	0	0	1	1	0	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S277	linearFull	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	.	0	.	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	1	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
S298	adaptiveFull	.	.	0	0	1	1	1	1	0	1	1	1	.	.	.	.	.	0	.	.	0	.	1	.	1	1	1	1	0	0	1	1	1	1	0	0	.	.	.	.	.	.	.	.	0	0	0	0	0	.	1	0	1	0	.	.	0	.	.	0	0	0	0
S308	linearFull	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	0	0	.	0	.	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S299	linearFull	0	0	0	0	0	1	0	0	1	1	1	0	0	1	1	1	0	1	1	.	0	.	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	.	.	.	.	.	.
S302	linearFull	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	.	1	.	0	0	1	1	0	1	1	0	1	1	1	1	0	1	0	1	1	1	1	0	1	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0
S307	adaptiveFull	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	.	.	1	.	0	.	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
S291	adaptiveAcc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.	0	.	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
