"SID","Cond_code","Level_Code","pre_scaled","post_scaled","BNscore"
"S291",1,5,47,33,-1
"S292",2,5,39,47,-1
"S293",3,3,41,39,-0.999
"S294",1,3,57,50,-0.988
"S295",2,3,41,51,-0.993
"S296",3,3,48,39,-0.897
"S297",1,3,44,51,-0.996
"S298",2,3,48,50,-0.00299999999999989
"S299",3,3,47,33,-0.988
"S300",1,3,54,41,-1
"S301",2,3,53,48,-0.995
"S302",3,3,45,50,-0.183
"S303",1,3,44,57,-0.985
"S304",2,3,39,58,-0.148
"S305",3,3,53,60,0.962
"S306",1,3,54,53,-0.869
"S307",2,5,44,57,-1
"S308",3,5,42,36,-1
"S315",1,5,53,36,-0.995
"S316",2,3,45,61,0.045
"S317",3,3,47,60,-0.986
"S318",1,3,45,53,-0.998
"S319",2,3,44,45,-0.999
"S320",3,3,51,56,-0.743
"S323",1,2,53,69,0.966
"S324",2,2,48,50,-0.999
"S325",3,2,56,72,0.992
"S326",1,2,57,67,-0.224
"S327",2,2,36,48,-1
"S328",3,2,60,50,0.11
"S329",1,2,47,33,-0.993
"S330",2,2,54,61,-0.75
"S331",3,2,53,42,-0.999
"S332",1,2,54,67,-0.316
"S333",2,2,67,75,0.459
"S334",3,2,45,64,-0.952
"S335",1,2,61,66,0.369
"S336",2,5,39,47,-1
"S337",3,5,44,51,-1
"S338",1,2,51,58,-0.978
"S069",4,2,50,63,-999
"S070",4,2,42,56,-999
"S071",4,2,64,60,-999
"S072",4,2,51,61,-999
"S073",4,2,42,56,-999
"S092",4,2,51,61,-999
"S093",4,2,53,48,-999
"S094",4,2,50,51,-999
"S095",4,2,47,60,-999
"S096",4,2,67,72,-999
"S115",4,2,69,58,-999
"S116",4,2,54,56,-999
"S117",4,2,45,56,-999
"S118",4,2,50,51,-999
"S137",4,1,67,78,-999
"S138",4,1,51,53,-999
"S139",4,1,61,72,-999
"S172",4,2,64,42,-999
"S173",4,2,42,41,-999
"S174",4,2,50,51,-999
"S175",4,2,50,48,-999
"S176",4,2,54,41,-999
"S190",4,4,44,45,-999
"S191",4,4,54,44,-999
"S192",4,4,44,36,-999
"S193",4,4,54,61,-999
"S205",4,4,56,45,-999
"S206",4,4,51,53,-999
"S207",4,4,61,45,-999
"S224",4,2,47,54,-999
"S225",4,2,36,56,-999
"S226",4,2,64,66,-999
"S227",4,2,42,53,-999
"S244",4,2,70,57,-999
"S245",4,2,72,78,-999
"S246",4,2,41,45,-999
"S247",4,2,45,41,-999
"S248",4,2,47,48,-999
"S264",4,2,58,54,-999
"S265",4,2,54,61,-999
"S266",4,2,50,51,-999
"S267",4,2,63,76,-999
"S268",4,2,58,72,-999
"S286",4,6,27,27,-999
"S287",4,6,30,36,-999
"S288",4,6,27,45,-999
"S289",4,6,33,50,-999
"S290",4,6,33,39,-999
"S309",4,3,41,36,-999
"S310",4,3,45,36,-999
"S311",4,3,41,33,-999
"S312",4,3,36,47,-999
"S313",4,3,44,36,-999
"S314",4,3,41,51,-999
"S321",4,3,33,33,-999
"S322",4,3,42,50,-999
"S339",4,5,27,27,-999
"S340",4,2,48,58,-999
"S341",4,2,53,57,-999
"S342",4,2,48,44,-999
